PR #26 staff review tracker
Date: 2026-02-20

Legend:
- STATUS=PASS|CONCERNS|NEW_TEST
- FIX=NOT_NEEDED|IMPLEMENTED

[01] Root tooling and repo config
- .github/workflows/ci.yml | STATUS=CONCERNS | FIX=IMPLEMENTED
- Dockerfile | STATUS=CONCERNS | FIX=IMPLEMENTED
- biome.json | STATUS=CONCERNS | FIX=IMPLEMENTED
- bun.lock | STATUS=PASS | FIX=NOT_NEEDED
- commitlint.config.js -> commitlint.config.mjs | STATUS=CONCERNS | FIX=IMPLEMENTED
- docker-compose.yml | STATUS=PASS | FIX=NOT_NEEDED
- docs/cli-v1-ux-checklist.md | STATUS=PASS | FIX=NOT_NEEDED
- lefthook.yml | STATUS=PASS | FIX=NOT_NEEDED
- package.json | STATUS=PASS | FIX=NOT_NEEDED
- packages/create-homie/package.json | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-ai/package.json | STATUS=CONCERNS | FIX=IMPLEMENTED
- tsconfig.json | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-interview-core/package.json | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-interview-core/tsconfig.build.json | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-interview-core/tsconfig.json | STATUS=PASS | FIX=NOT_NEEDED

[02] create-homie and CLI surface
- packages/create-homie/src/index.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-ai/src/cli/args.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/cli/args.test.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/cli/usage.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/cli/runCli.ts | STATUS=CONCERNS | FIX=IMPLEMENTED

[03] Backend adapters and provider detection
- packages/homie-ai/src/backend/ai-sdk.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/backend/ai-sdk.test.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/backend/claude-code.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-ai/src/backend/claude-code.test.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-ai/src/backend/codex-cli.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/backend/codex-cli.test.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/backend/factory.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-ai/src/backend/factory.test.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-ai/src/backend/spawn.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/backend/spawn.test.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/backend/types.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-ai/src/behavior/friendRules.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-ai/src/behavior/friendRules.test.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-ai/src/interview/backendAdapter.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-ai/src/interview/backendAdapter.test.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-ai/src/llm/detect.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/llm/detect.test.ts | STATUS=CONCERNS | FIX=IMPLEMENTED

[04] Channels and validation
- packages/homie-ai/src/channels/cli-turn.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/channels/cli-turn.test.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/channels/cli.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/channels/cli.test.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/channels/telegram.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/channels/validate.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/channels/validate.test.ts | STATUS=CONCERNS | FIX=IMPLEMENTED

[05] Deploy and infra stack
- packages/homie-ai/src/cli/commands/deploy.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/cli/commands/deploy.test.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/cli/commands/deployOutput.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-ai/src/cli/commands/deployOutput.test.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/infra/cloudInit.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-ai/src/infra/cloudInit.test.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-ai/src/infra/deployState.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/infra/deployState.test.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/infra/mppDo.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/infra/mppDo.test.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/infra/ssh.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/util/mpp.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-ai/src/util/mpp.test.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-ai/src/util/fs.ts | STATUS=PASS | FIX=NOT_NEEDED

[06] Doctor/eval/self-improve commands
- packages/homie-ai/src/cli/commands/doctor.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/cli/commands/doctor.test.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/cli/commands/eval.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/cli/commands/eval.test.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-ai/src/cli/commands/eval-init.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/cli/commands/eval-init.test.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/cli/commands/mppVerify.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/cli/commands/mppVerify.test.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/cli/commands/self-improve.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/cli/commands/self-improve.test.ts | STATUS=PASS | FIX=NOT_NEEDED

[07] Init command family
- packages/homie-ai/src/cli/commands/init.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/cli/commands/init.test.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-ai/src/cli/commands/init.command.test.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/cli/commands/initArtifacts.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/cli/commands/initFormat.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-ai/src/cli/commands/initFormat.test.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/cli/commands/initHelpers.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/cli/commands/initTemplates.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-ai/src/cli/commands/initTemplates.test.ts | STATUS=PASS | FIX=NOT_NEEDED

[08] Ink terminal UI
- packages/homie-ai/src/cli/ink/App.tsx | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/cli/ink/ErrorBoundary.tsx | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-ai/src/cli/ink/Message.tsx | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/cli/ink/StatusBar.tsx | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-ai/src/cli/ink/format.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-ai/src/cli/ink/format.test.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-ai/src/cli/ink/markdown.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/cli/ink/markdown.test.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/cli/ink/terminalCapabilities.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-ai/src/cli/ink/terminalCapabilities.test.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-ai/src/cli/ink/theme.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-ai/src/cli/ink/theme.test.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-ai/src/cli/ink/types.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-ai/src/cli/ink/useInputManager.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-ai/src/cli/ink/useInputManager.test.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-ai/src/cli/ink/usePaymentTracker.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-ai/src/cli/ink/usePaymentTracker.test.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-ai/src/cli/ink/useSessionUsage.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-ai/src/cli/ink/useSessionUsage.test.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-ai/src/cli/ink/vendor.d.ts | STATUS=PASS | FIX=NOT_NEEDED

[09] Config, engine, harness, evals, utilities
- packages/homie-ai/src/config/load.more.test.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/config/load.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/config/types.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-ai/src/engine/contextBuilder.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-ai/src/engine/turnEngine.test.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/engine/turnEngine.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/engine/types.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-ai/src/evals/init-quality-types.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/evals/init-quality.test.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/evals/init-quality.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-ai/src/harness/harness.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-ai/src/index.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-ai/src/testing/setup.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-ai/src/util/env.test.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/util/env.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/util/format.test.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-ai/src/util/format.ts | STATUS=PASS | FIX=NOT_NEEDED

[10] Wallet and interview-core
- packages/homie-ai/src/wallet/audit.test.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/wallet/audit.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/wallet/errors.test.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-ai/src/wallet/errors.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-ai/src/wallet/flags.test.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-ai/src/wallet/flags.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-ai/src/wallet/governance.test.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/wallet/governance.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/wallet/index.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-ai/src/wallet/keychain.test.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/wallet/keychain.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/wallet/payments.test.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/wallet/payments.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/wallet/policy.test.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/wallet/policy.ts | STATUS=CONCERNS | FIX=IMPLEMENTED
- packages/homie-ai/src/wallet/runtime.test.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-ai/src/wallet/runtime.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-ai/src/wallet/types.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-interview-core/src/conductor.test.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-interview-core/src/conductor.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-interview-core/src/contracts.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-interview-core/src/index.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-interview-core/src/json.test.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-interview-core/src/json.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-interview-core/src/prompts.ts | STATUS=PASS | FIX=NOT_NEEDED
- packages/homie-interview-core/src/schemas.ts | STATUS=CONCERNS | FIX=IMPLEMENTED

Additional non-PR regression test added during fixes:
- packages/homie-interview-core/src/schemas.test.ts | STATUS=NEW_TEST | FIX=IMPLEMENTED

Outstanding pending items: 0

---

PR #26 merge-gate pass (2026-02-20)

[A] CLI/docs consistency for deploy subcommands
- ISSUE: `homie deploy --help` omitted `apply`, but parser + README support it.
- GATE: `packages/homie-ai/src/cli/usage.ts`
- FIX: IMPLEMENTED
- VERIFY: `bun test packages/homie-ai/src/cli/usage.test.ts packages/homie-ai/src/cli/commands/deploy.test.ts`

[B] Docker README path validity
- ISSUE: `docker compose up -d` failed because `homie` depended on `signal-api` while `signal-api` was profile-gated.
- GATE: `docker-compose.yml` + README Docker section correctness.
- FIX: IMPLEMENTED (removed hard dependency so default and profile flows both resolve).
- VERIFY: `docker compose config --services` and `docker compose --profile signal config --services`

Outstanding pending items (this pass): 0

---

PR #26 merge-gate todo list (2026-02-20, codex pass)

- [x] Reproduce all required quality gates locally (`lint`, `typecheck`, `test`, `build`, `knip`)
- [x] Fix blocking CI issue: `knip` failed on unused export `USAGE` in `packages/homie-ai/src/cli/usage.ts`
- [x] Re-run full quality gate suite after fix
- [x] Audit `README.md` command surface against live CLI help output (`homie --help`, `homie deploy --help`, `homie doctor --help`)
- [x] Validate README provider/config/deploy docs against config parser and deploy env handling

Outstanding pending items (codex pass): 0
